iter	F1	Logloss
134	0.9756535625	0.1357974642
135	0.9757996111	0.1351523274
136	0.9757996111	0.1348587685
137	0.975802026	0.134265098
138	0.9760319245	0.1331047998
139	0.9759505043	0.1326418202
140	0.9760722576	0.1318493812
141	0.9761488951	0.1314190773
142	0.9787127602	0.1303067909
143	0.9786339758	0.1299489851
144	0.9786339758	0.1294263121
145	0.9786339758	0.1281069476
146	0.9786361138	0.1272742191
147	0.9786361138	0.1269133986
148	0.9788894451	0.1262967311
149	0.9790661034	0.1259918035
150	0.9791171693	0.125274927
151	0.979291717	0.1247276795
152	0.979291717	0.12422597
153	0.9817962994	0.1235819037
154	0.9818473577	0.1232156021
155	0.9821428575	0.1225148488
156	0.9821428575	0.121754571
157	0.9821921247	0.120934314
158	0.9821428575	0.1201966263
159	0.9820689658	0.1195941831
160	0.9822413969	0.1191168057
161	0.9820671669	0.1186420003
162	0.9820671669	0.1179390424
163	0.9820671669	0.117116714
164	0.9819458378	0.1167914001
165	0.9819458378	0.1161899981
166	0.9820179072	0.1156594969
167	0.9824182993	0.1150230768
168	0.9824693405	0.1146714343
169	0.9824420591	0.1142635253
170	0.9823910102	0.1139573203
171	0.9823910102	0.1136527328
172	0.9823399562	0.1133021647
173	0.982589062	0.1128638999
174	0.9827677029	0.1124038094
175	0.982589062	0.1119367562
176	0.9827369903	0.1114407942
177	0.9827863097	0.1109090002
178	0.9827369903	0.110307947
179	0.9830125715	0.109973337
180	0.9829632421	0.1090444247
181	0.9829632421	0.1086113027
182	0.9830125715	0.1080912318
183	0.9830125715	0.1073977537
184	0.982961532	0.1068837975
185	0.982961532	0.106469624
186	0.982961532	0.1061303123
187	0.982961532	0.1054780541
188	0.982961532	0.1052528203
189	0.982961532	0.104813727
190	0.982961532	0.1045459376
191	0.9830125715	0.1043684175
192	0.9831401478	0.1041278863
193	0.9831401478	0.1036135426
194	0.9831911694	0.103262998
195	0.9831911694	0.1028535698
196	0.9830142764	0.1023382965
197	0.9830142764	0.1020813176
198	0.983192856	0.1017070464
199	0.9832915206	0.1013089748
200	0.983342532	0.1010049064
201	0.983342532	0.1004684665
202	0.983342532	0.1002446688
203	0.9832438673	0.0999541589
204	0.9832948734	0.09958943314
205	0.9857674515	0.09879635208
206	0.9857674515	0.09864738314
207	0.9857674515	0.09842028164
208	0.9857674515	0.09788384483
209	0.9857674515	0.09774069078
210	0.9857674515	0.09732200797
211	0.9857674515	0.09710378845
212	0.9857674515	0.0967213941
213	0.9857674515	0.09650922149
214	0.9858680349	0.09620578392
215	0.9858680349	0.09571218399
216	0.9858680349	0.0955731479
217	0.9859190348	0.09522816323
218	0.9858680349	0.09487326952
219	0.9858680349	0.09478295504
220	0.9858680349	0.09466152666
221	0.9858680349	0.09452473939
222	0.9859955249	0.09434958058
223	0.9860465119	0.0940051178
224	0.9861456843	0.09388193206
225	0.9861456843	0.09342694473
226	0.9861456843	0.09312903195
227	0.9861456843	0.0929255363
228	0.9863240991	0.09262006049
229	0.9863240991	0.09242714311
230	0.9863240991	0.09189961946
231	0.9862731298	0.09155246242
232	0.9863227237	0.09144318004
233	0.9862972371	0.09119322301
234	0.9862972371	0.09086736379
235	0.986195278	0.0906486768
236	0.986195278	0.09045556882
237	0.9862972371	0.09014647593
238	0.9862462601	0.08984204437
239	0.986373693	0.08957744231
240	0.986373693	0.08931548677
241	0.986373693	0.08918240149
242	0.9863723225	0.08908126226
243	0.9864963415	0.08879738655
244	0.9864963415	0.08853149201
245	0.9864963415	0.08833935633
246	0.9866203916	0.08806331259
247	0.9866713613	0.08749140628
248	0.9866713613	0.08713448351
249	0.9866190455	0.0868711031
250	0.9866176992	0.08665539221
251	0.9866190455	0.08640094727
252	0.9867196542	0.08621143229
253	0.986796107	0.0860471899
254	0.9868725483	0.08588438091
255	0.986796107	0.08552658407
256	0.986796107	0.08544274815
257	0.986796107	0.08529597742
258	0.9868967081	0.08505498911
259	0.9869463521	0.08464926636
260	0.9869463521	0.0845498748
261	0.9869463521	0.08448601754
262	0.9869973092	0.08438484965
263	0.9868732086	0.08424822682
264	0.9868967081	0.08409374413
265	0.9869476652	0.08366766556
266	0.9870482612	0.08347818756
267	0.9869241604	0.08327784887
268	0.9870005786	0.08300546328
269	0.9870005786	0.08300531762
270	0.9870005786	0.0830048279
271	0.9869013202	0.08280296362
272	0.9869013202	0.08253310897
273	0.9869013202	0.08242495555
274	0.9869522591	0.08225583757
275	0.9869522591	0.08220732409
276	0.9870515177	0.08207702842
277	0.9870502153	0.08199057381
278	0.9871011544	0.08165762903
279	0.9870502153	0.08154455557
280	0.9871011544	0.08131842286
281	0.9871011544	0.08131842188
282	0.9871011544	0.08127804213
283	0.9871011544	0.08127800378
284	0.9871011544	0.08106401875
285	0.9871507961	0.08097622636
286	0.9871507961	0.08090843473
287	0.9872017302	0.08083298835
288	0.987251377	0.08072392789
289	0.987251377	0.08049076332
290	0.9871507961	0.08031551973
291	0.9871507961	0.08031548433
292	0.987251377	0.08022857593
293	0.9873010288	0.08018099009
294	0.987251377	0.08006907804
295	0.9873010288	0.07996738181
296	0.9873010288	0.07993603473
297	0.9874016147	0.07986147235
298	0.9873506856	0.07969458219
299	0.9873506856	0.07939377266
300	0.9872997513	0.07916436548
301	0.9872997513	0.0791004426
302	0.987349413	0.07900246126
303	0.987349413	0.07895599474
304	0.9872997513	0.07856564881
305	0.9872997513	0.07845605643
306	0.9872997513	0.07845603674
307	0.9872997513	0.07835808795
308	0.9872997513	0.07819949358
309	0.9872997513	0.0781765258
310	0.9872997513	0.07810823968
311	0.987349413	0.07803628996
312	0.9872997513	0.07795649379
313	0.987349413	0.07791784488
314	0.987349413	0.07782665549
315	0.987349413	0.0778266479
316	0.987349413	0.07767947661
317	0.9873990797	0.07739746142
318	0.987349413	0.07732008564
319	0.987349413	0.07727455711
320	0.9873990797	0.07720531074
321	0.9873990797	0.07677746638
322	0.9873990797	0.07677744447
323	0.9873481402	0.07668763662
324	0.9873481402	0.07668763445
325	0.9872984736	0.07663762855
326	0.9873481402	0.07647712039
327	0.9873978119	0.07624298638
328	0.9873978119	0.07624007453
329	0.9873978119	0.07614607909
330	0.9873978119	0.0759076677
331	0.9873978119	0.07580786759
332	0.9873978119	0.07576544112
333	0.9874474885	0.07568120312
334	0.9875481099	0.07551751975
335	0.9875481099	0.07551713497
336	0.9875977966	0.07521113966
337	0.9875977966	0.07504256741
338	0.9875977966	0.07477592832
339	0.9875977966	0.07469591807
340	0.9875977966	0.07445128499
341	0.9875977966	0.07443374856
342	0.9875977966	0.07437893507
343	0.9875977966	0.07429598351
344	0.9875977966	0.07416035384
345	0.9875977966	0.07397803281
346	0.9875468568	0.07354007469
347	0.9875468568	0.07327056645
348	0.9875468568	0.07303257466
349	0.9875468568	0.07292177567
350	0.9875468568	0.07289551428
351	0.9875977966	0.07278869595
352	0.9875977966	0.07274626305
353	0.9876474883	0.07268370003
354	0.9877965934	0.07245773154
355	0.9877965934	0.07243156683
356	0.9877978215	0.07229579519
357	0.9877965934	0.07220868045
358	0.9877965934	0.07215559544
359	0.9877965934	0.07199601008
360	0.98789724	0.07178360898
361	0.98789724	0.07158136212
362	0.98789724	0.07156826151
363	0.9878463051	0.07146678877
364	0.9879481699	0.07138101805
365	0.98789724	0.07135569476
366	0.98789724	0.07135568493
367	0.98789724	0.07135079268
368	0.987898458	0.0712867478
369	0.987898458	0.07128469267
370	0.987898458	0.07122140181
371	0.987898458	0.07122139435
372	0.987898458	0.0711847735
373	0.9879481699	0.07112393141
374	0.9879481699	0.07105594164
375	0.9879481699	0.07082417008
376	0.98789724	0.07061122015
377	0.98789724	0.07048642867
378	0.98789724	0.07048641082
379	0.98789724	0.0704047686
380	0.98789724	0.0702583939
381	0.98789724	0.07023441841
382	0.98789724	0.07019298127
383	0.98789724	0.07019296432
384	0.98789724	0.07018961635
385	0.98789724	0.07013175553
386	0.98789724	0.07001274579
387	0.98789724	0.07001273929
388	0.9880215414	0.06997280981
389	0.9880724713	0.06981084039
390	0.9880724713	0.06981083658
391	0.9880724713	0.06981083116
392	0.9881222007	0.06976591033
393	0.9881222007	0.06976591033
394	0.9880712707	0.06971331147
395	0.9880712707	0.06971326228
396	0.9881222007	0.06962784783
397	0.9881222007	0.06962784404
398	0.9881222007	0.06962661785
399	0.988171935	0.06955065496
400	0.988171935	0.06955065236
401	0.988171935	0.06947998315
402	0.988171935	0.06947815444
403	0.988171935	0.06940633914
404	0.988171935	0.06940633568
405	0.988171935	0.06940236776
406	0.988171935	0.0694001479
407	0.9882216744	0.06918577395
408	0.9882216744	0.06904676789
409	0.9882216744	0.06904675973
410	0.9882216744	0.06904246608
411	0.9882216744	0.06904245794
412	0.9882216744	0.0690410284
413	0.9882216744	0.06903935267
414	0.9882216744	0.06903934487
415	0.9882216744	0.06896815953
416	0.9882216744	0.06890315927
417	0.9882216744	0.06873731665
418	0.9882216744	0.0687372917
419	0.9882216744	0.06870196987
420	0.9882216744	0.06870196439
421	0.9882725994	0.06859448656
422	0.9882216744	0.0685313977
423	0.9882216744	0.06849131477
424	0.9882216744	0.06849131371
425	0.9882216744	0.06848372638
426	0.9882216744	0.06844835459
427	0.9881707443	0.06834081956
428	0.9881707443	0.06834080695
429	0.9881707443	0.06826033902
430	0.988121005	0.06805745691
431	0.988171935	0.06803215482
432	0.988171935	0.06803206018
433	0.988171935	0.06803193389
434	0.988171935	0.06800660795
435	0.988171935	0.06799661265
436	0.988171935	0.06798952445
437	0.988171935	0.0679895239
438	0.988171935	0.06797714638
439	0.988171935	0.067973064
440	0.988171935	0.06796517584
441	0.988171935	0.06796516735
442	0.988171935	0.0679536495
443	0.988171935	0.06790710015
444	0.9882216744	0.06773471374
445	0.9882216744	0.0677273548
446	0.9882216744	0.06772735169
447	0.9882216744	0.0677273422
448	0.9882216744	0.06772733587
449	0.9882216744	0.0677273327
450	0.9882216744	0.06770597426
451	0.9882216744	0.06770253955
452	0.9882216744	0.06767994977
453	0.9882216744	0.06750454963
454	0.9882714188	0.06743060061
455	0.9882714188	0.06742702689
456	0.9882714188	0.06735367276
457	0.9882204886	0.06728253056
458	0.9882714188	0.06706127964
459	0.9882714188	0.066953138
460	0.9882714188	0.0669023636
461	0.9882216744	0.06677032243
462	0.9881707443	0.06644398435
463	0.9882725994	0.06636566417
464	0.9882725994	0.06636565249
465	0.9883732638	0.06629978199
466	0.9883732638	0.06626582493
467	0.9883744341	0.06622251199
468	0.9883744341	0.06617088615
469	0.9884241786	0.0659914168
470	0.9884241786	0.06598119162
471	0.9884241786	0.06566511114
472	0.9884739282	0.06559734685
473	0.9884739282	0.06559734607
474	0.9884739282	0.06554233431
475	0.9884739282	0.06533784959
476	0.9884739282	0.0653378369
477	0.9884739282	0.06526616578
478	0.9884739282	0.06520295463
479	0.9884739282	0.06520294999
480	0.9884739282	0.06520293441
481	0.9884739282	0.06519140595
482	0.9884739282	0.06514751319
483	0.9885236828	0.0650317223
484	0.9885236828	0.06499946039
485	0.9884739282	0.06491664751
486	0.9884739282	0.06491664626
487	0.9884739282	0.06491546907
488	0.9884739282	0.06479745379
489	0.9884739282	0.0647057801
490	0.9884739282	0.06460517254
491	0.9884739282	0.06460517028
492	0.9884739282	0.06454746084
493	0.9884739282	0.06454744915
494	0.9884739282	0.06454404638
495	0.9884739282	0.06454403712
496	0.9884241786	0.06449859847
497	0.9884241786	0.06449859545
498	0.9884241786	0.06444836212
499	0.9884739282	0.06434025734
